Model,Optimizer,Loss Function,Learning Rate,Batch Size,Test Epoch,Validation Loss,Validation Accuracy,Highest Accuracy,Occurred in which Epoch
Distilbert-Base-Uncased,Adam,CrossEntropy,0.01,8,5,"[0.696070556640625, 0.6936695623397827, 0.6960529999732972, 0.6927831420898437, 0.6932604541778564]","[0.48044132397191575, 0.48044132397191575, 0.48044132397191575, 0.5195586760280843, 0.48044132397191575]",0.5195586760280843,4
Distilbert-Base-Uncased,Adam,CrossEntropy,0.01,16,5,"[0.6919175216129848, 0.6995480893150209, 0.691925461330111, 0.692538163018605, 0.6921685177182394]","[0.5195586760280843, 0.48044132397191575, 0.5195586760280843, 0.5195586760280843, 0.5195586760280843]",0.5195586760280843,1
Distilbert-Base-Uncased,Adam,CrossEntropy,0.01,32,5,"[0.6975961774587631, 0.6947895996272564, 0.6940394137054682, 0.6921291425824165, 0.6945989727973938]","[0.48044132397191575, 0.48044132397191575, 0.48044132397191575, 0.5195586760280843, 0.48044132397191575]",0.5195586760280843,4
Distilbert-Base-Uncased,Adam,CrossEntropy,0.01,64,5,"[0.6934701390564442, 0.6952804028987885, 0.6926894187927246, 0.6933018676936626, 0.6924218460917473]","[0.48044132397191575, 0.48044132397191575, 0.5195586760280843, 0.48044132397191575, 0.5195586760280843]",0.5195586760280843,3
Distilbert-Base-Uncased,Adam,CrossEntropy,0.01,128,5,"[0.6938460245728493, 0.6939464583992958, 0.6937447190284729, 0.6930397301912308, 0.6933159753680229]","[0.48044132397191575, 0.48044132397191575, 0.48044132397191575, 0.5195586760280843, 0.48044132397191575]",0.5195586760280843,4
Distilbert-Base-Uncased,Adam,CrossEntropy,0.01,256,5,"[0.6945902407169342, 0.6942337304353714, 0.6931268125772476, 0.6940567046403885, 0.6929961889982224]","[0.48044132397191575, 0.48044132397191575, 0.5195586760280843, 0.48044132397191575, 0.5195586760280843]",0.5195586760280843,3
Distilbert-Base-Uncased,Adam,CrossEntropy,0.001,8,5,"[0.6932872657775879, 0.6932420053482056, 0.6936715202331543, 0.6931192855834961, 0.6932351250648499]","[0.48044132397191575, 0.48044132397191575, 0.48044132397191575, 0.5195586760280843, 0.48044132397191575]",0.5195586760280843,4
Distilbert-Base-Uncased,Adam,CrossEntropy,0.001,16,5,"[0.6919481129873366, 0.6935589994703021, 0.693689865725381, 0.6935367527462187, 0.6936379576486255]","[0.5195586760280843, 0.48044132397191575, 0.48044132397191575, 0.48044132397191575, 0.48044132397191575]",0.5195586760280843,1
Distilbert-Base-Uncased,Adam,CrossEntropy,0.001,32,5,"[0.6923329327255487, 0.6933174096047878, 0.693421533331275, 0.6941619571298361, 0.6933739203959703]","[0.5195586760280843, 0.48044132397191575, 0.48044132397191575, 0.48044132397191575, 0.48044132397191575]",0.5195586760280843,1
Distilbert-Base-Uncased,Adam,CrossEntropy,0.001,64,5,"[0.6924671418964863, 0.6933073475956917, 0.6936186365783215, 0.6936953999102116, 0.6932540312409401]","[0.5195586760280843, 0.48044132397191575, 0.48044132397191575, 0.48044132397191575, 0.48044132397191575]",0.5195586760280843,1
Distilbert-Base-Uncased,Adam,CrossEntropy,0.001,128,5,"[0.6922938227653503, 0.6923823803663254, 0.6922948211431503, 0.693418450653553, 0.6928914934396744]","[0.5195586760280843, 0.5195586760280843, 0.5195586760280843, 0.48044132397191575, 0.5195586760280843]",0.5195586760280843,1
Distilbert-Base-Uncased,Adam,CrossEntropy,0.001,256,5,"[0.6938633769750595, 0.6938415467739105, 0.6931673437356949, 0.6957492828369141, 0.694492980837822]","[0.48044132397191575, 0.48044132397191575, 0.48044132397191575, 0.48044132397191575, 0.48044132397191575]",0.48044132397191575,1
Distilbert-Base-Uncased,Adam,CrossEntropy,0.0001,8,5,"[0.6943567371368409, 0.692459053993225, 0.6931913123130798, 0.693020791053772, 0.6955995221138]","[0.48044132397191575, 0.5195586760280843, 0.48044132397191575, 0.5195586760280843, 0.48044132397191575]",0.5195586760280843,2
Distilbert-Base-Uncased,Adam,CrossEntropy,0.0001,16,5,"[0.6965390746555631, 0.6921661571850852, 0.6967889089432974, 0.6936382320192125, 0.6950697151441423]","[0.48044132397191575, 0.5195586760280843, 0.48044132397191575, 0.48044132397191575, 0.48044132397191575]",0.5195586760280843,2
Distilbert-Base-Uncased,Adam,CrossEntropy,0.0001,32,5,"[0.5770219480618834, 0.47502455743961036, 0.5158670209348202, 0.6582685698231217, 0.7062673405744135]","[0.6730190571715146, 0.7642928786359077, 0.7883650952858575, 0.7833500501504513, 0.7723169508525577]",0.7883650952858575,3
Distilbert-Base-Uncased,Adam,CrossEntropy,0.0001,64,5,"[0.5437463503330946, 0.4108412005007267, 0.564741937443614, 0.6782273594290018, 0.681316714733839]","[0.6890672016048145, 0.8034102306920762, 0.7973921765295887, 0.7963891675025075, 0.802407221664995]",0.8034102306920762,2
Distilbert-Base-Uncased,Adam,CrossEntropy,0.0001,128,5,"[0.6961315274238586, 0.45880986377596855, 0.44847867265343666, 0.5514274463057518, 0.7491080015897751]","[0.48044132397191575, 0.7753259779338014, 0.8034102306920762, 0.7973921765295887, 0.8064192577733199]",0.8064192577733199,5
Distilbert-Base-Uncased,Adam,CrossEntropy,0.0001,256,5,"[0.6927631199359894, 0.6353124529123306, 0.4325922951102257, 0.5847611129283905, 0.678753599524498]","[0.5215646940822467, 0.6178535606820461, 0.7883650952858575, 0.794383149448345, 0.794383149448345]",0.794383149448345,4
Distilbert-Base-Uncased,Adam,CrossEntropy,1e-05,8,5,"[0.6169813103675842, 0.39510187119245527, 0.4545561065673828, 0.7473631953643635, 0.6656346957441419]","[0.6449348044132397, 0.8064192577733199, 0.827482447342026, 0.8264794383149449, 0.8304914744232698]",0.8304914744232698,5
Distilbert-Base-Uncased,Adam,CrossEntropy,1e-05,16,5,"[0.6925179012238033, 0.39138966680519166, 0.41495207141316126, 0.6006257448286291, 0.8488052122697737]","[0.5205616850551655, 0.8034102306920762, 0.8184553660982948, 0.8064192577733199, 0.8184553660982948]",0.8184553660982948,3
Distilbert-Base-Uncased,Adam,CrossEntropy,1e-05,32,5,"[0.6945185977965593, 0.45242565032094717, 0.3944852761924267, 0.49682573042809963, 0.6933608250692487]","[0.4754262788365095, 0.7733199598796389, 0.802407221664995, 0.8084252758274825, 0.8074222668004012]",0.8084252758274825,4
