Model,Optimizer,Loss Function,Learning Rate,Batch Size,Test Epoch,Validation Loss,Validation Accuracy,Highest Accuracy,Occurred in which Epoch
Roberta-Base,Adam,CrossEntropy,0.01,8,5,"[1.8836780640929938, 0.8641300802230835, 0.7007142820358276, 1.2558507127165794, 1.2236217885017395]","[0.5195586760280843, 0.48044132397191575, 0.48044132397191575, 0.5195586760280843, 0.5195586760280843]",0.5195586760280843,1
Roberta-Base,Adam,CrossEntropy,0.01,16,5,"[0.6935406819222465, 0.7762226031886207, 1.5686524817867884, 1.122768515632266, 1.0912014504983312]","[0.48044132397191575, 0.5195586760280843, 0.5195586760280843, 0.48044132397191575, 0.5195586760280843]",0.5195586760280843,2
Roberta-Base,Adam,CrossEntropy,0.01,32,5,"[0.7554461359977722, 0.7161025181412697, 0.7669117012992501, 1.0363318212330341, 0.6947172377258539]","[0.48044132397191575, 0.48044132397191575, 0.5195586760280843, 0.48044132397191575, 0.48044132397191575]",0.5195586760280843,3
Roberta-Base,Adam,CrossEntropy,0.01,64,5,"[0.7691589035093784, 1.0708058141171932, 0.7893742024898529, 1.0101775415241718, 0.7434629686176777]","[0.5195586760280843, 0.5195586760280843, 0.48044132397191575, 0.5195586760280843, 0.48044132397191575]",0.5195586760280843,1
Roberta-Base,Adam,CrossEntropy,0.01,128,5,"[0.7026502639055252, 0.8217615932226181, 0.7085722610354424, 0.6941124200820923, 0.743771955370903]","[0.48044132397191575, 0.48044132397191575, 0.48044132397191575, 0.5195586760280843, 0.48044132397191575]",0.5195586760280843,4
Roberta-Base,Adam,CrossEntropy,0.01,256,5,"[0.6926384419202805, 0.8604085445404053, 0.695887416601181, 0.7235260456800461, 0.8728550523519516]","[0.5195586760280843, 0.48044132397191575, 0.48044132397191575, 0.48044132397191575, 0.48044132397191575]",0.5195586760280843,1
Roberta-Base,Adam,CrossEntropy,0.001,8,5,"[0.699173632144928, 0.6928878316879272, 0.6925343837738037, 0.7011312923431396, 0.6935490865707398]","[0.48044132397191575, 0.5195586760280843, 0.5195586760280843, 0.5195586760280843, 0.48044132397191575]",0.5195586760280843,2
Roberta-Base,Adam,CrossEntropy,0.001,16,5,"[0.6932612193955315, 0.6948938123763554, 0.693752508314829, 0.6920787408238366, 0.6931122721187652]","[0.48044132397191575, 0.48044132397191575, 0.48044132397191575, 0.5195586760280843, 0.5195586760280843]",0.5195586760280843,4
Roberta-Base,Adam,CrossEntropy,0.001,32,5,"[0.6957450397312641, 0.6912859473377466, 0.6944171711802483, 0.6932031009346247, 0.6932773292064667]","[0.48044132397191575, 0.5195586760280843, 0.48044132397191575, 0.48044132397191575, 0.48044132397191575]",0.5195586760280843,2
Roberta-Base,Adam,CrossEntropy,0.001,64,5,"[0.6923295557498932, 0.6921587139368057, 0.694533035159111, 0.6927038691937923, 0.6931284740567207]","[0.5195586760280843, 0.5195586760280843, 0.48044132397191575, 0.5195586760280843, 0.5195586760280843]",0.5195586760280843,1
Roberta-Base,Adam,CrossEntropy,0.001,128,5,"[0.6922903656959534, 0.6923292949795723, 0.6930921450257301, 0.6948613524436951, 0.6924457773566246]","[0.5195586760280843, 0.5195586760280843, 0.5195586760280843, 0.48044132397191575, 0.5195586760280843]",0.5195586760280843,1
Roberta-Base,Adam,CrossEntropy,0.001,256,5,"[0.6952546536922455, 0.692553848028183, 0.692626103758812, 0.692977786064148, 0.6926338523626328]","[0.5195586760280843, 0.5195586760280843, 0.5195586760280843, 0.5195586760280843, 0.5195586760280843]",0.5195586760280843,1
Roberta-Base,Adam,CrossEntropy,0.0001,8,5,"[0.7435447418689728, 0.6940399069786072, 0.6942129797935486, 0.6929958305358886, 0.6931983938217163]","[0.48044132397191575, 0.48044132397191575, 0.48044132397191575, 0.5195586760280843, 0.48044132397191575]",0.5195586760280843,4
Roberta-Base,Adam,CrossEntropy,0.0001,16,5,"[0.6938973712542701, 0.6935730008851915, 0.6928336033745418, 0.6935719497620113, 0.6937217277193827]","[0.48044132397191575, 0.48044132397191575, 0.5195586760280843, 0.48044132397191575, 0.48044132397191575]",0.5195586760280843,3
Roberta-Base,Adam,CrossEntropy,0.0001,32,5,"[0.6911486256867647, 0.6950634159147739, 0.6971510071307421, 0.6927106343209743, 0.6950841564685106]","[0.5195586760280843, 0.48044132397191575, 0.48044132397191575, 0.5195586760280843, 0.48044132397191575]",0.5195586760280843,1
Roberta-Base,Adam,CrossEntropy,0.0001,64,5,"[0.6945401206612587, 0.692157506942749, 0.6925544440746307, 0.6951609179377556, 0.6941544078290462]","[0.48044132397191575, 0.5195586760280843, 0.5195586760280843, 0.48044132397191575, 0.48044132397191575]",0.5195586760280843,2
Roberta-Base,Adam,CrossEntropy,0.0001,128,5,"[0.6922873109579086, 0.6929911524057388, 0.6960818395018578, 0.6923011094331741, 0.6933337524533272]","[0.5195586760280843, 0.5195586760280843, 0.48044132397191575, 0.5195586760280843, 0.48044132397191575]",0.5195586760280843,1
Roberta-Base,Adam,CrossEntropy,0.0001,256,5,"[0.6928138732910156, 0.6973268091678619, 0.6933216601610184, 0.6951471120119095, 0.6930413693189621]","[0.5195586760280843, 0.48044132397191575, 0.48044132397191575, 0.48044132397191575, 0.4954864593781344]",0.5195586760280843,1
Roberta-Base,Adam,CrossEntropy,1e-05,8,5,"[0.7012065567970276, 0.3767863774299622, 0.33157728308439255, 0.4138811705559492, 0.44047644870728253]","[0.48044132397191575, 0.8204613841524574, 0.8455366098294884, 0.8625877632898696, 0.8605817452357071]",0.8625877632898696,4
Roberta-Base,Adam,CrossEntropy,1e-05,16,5,"[0.33292340853857616, 0.26935053900593803, 0.3357649709260653, 0.48257734610639985, 0.49425657220657854]","[0.8385155466399198, 0.8826479438314945, 0.880641925777332, 0.8645937813440321, 0.8545636910732196]",0.8826479438314945,2
