Model,Optimizer,Loss Function,Learning Rate,Batch Size,Test Epoch,Validation Loss,Validation Accuracy,Highest Accuracy,Occurred in which Epoch
Bert-Base-Uncased,Adam,CrossEntropy,0.01,8,5,"[0.7089185242652893, 0.8759087846279144, 0.839063235282898, 1.3690854335427285, 0.8700081833600998]","[0.48044132397191575, 0.5195586760280843, 0.48044132397191575, 0.5195586760280843, 0.5195586760280843]",0.5195586760280843,2
Bert-Base-Uncased,Adam,CrossEntropy,0.01,16,5,"[0.9157240698261867, 0.9749538292960515, 0.8821360024194869, 0.7180781506356739, 1.6004092655484639]","[0.48044132397191575, 0.48044132397191575, 0.48044132397191575, 0.5195586760280843, 0.48044132397191575]",0.5195586760280843,4
Bert-Base-Uncased,Adam,CrossEntropy,0.01,32,5,"[0.9075902160257101, 0.784207358956337, 0.8583577293902636, 0.7442622510716319, 0.8232753295451403]","[0.48044132397191575, 0.48044132397191575, 0.48044132397191575, 0.5195586760280843, 0.5195586760280843]",0.5195586760280843,4
Bert-Base-Uncased,Adam,CrossEntropy,0.01,64,5,"[0.836080513894558, 0.8405096232891083, 0.7758555486798286, 0.77838921174407, 0.754163458943367]","[0.5195586760280843, 0.48044132397191575, 0.5195586760280843, 0.48044132397191575, 0.48044132397191575]",0.5195586760280843,1
Bert-Base-Uncased,Adam,CrossEntropy,0.01,128,5,"[0.7576596960425377, 0.9923075214028358, 0.7010697051882744, 0.7480700984597206, 0.6934790536761284]","[0.48044132397191575, 0.5195586760280843, 0.48044132397191575, 0.5195586760280843, 0.48044132397191575]",0.5195586760280843,2
Bert-Base-Uncased,Adam,CrossEntropy,0.01,256,5,"[0.7396558821201324, 1.484807014465332, 0.8206072896718979, 0.7299547344446182, 0.7013791501522064]","[0.48044132397191575, 0.48044132397191575, 0.48044132397191575, 0.5195586760280843, 0.48044132397191575]",0.5195586760280843,4
Bert-Base-Uncased,Adam,CrossEntropy,0.001,8,5,"[0.7159349513053894, 0.9246376376152039, 0.6927295627593995, 0.8260803916454316, 0.7084571309089661]","[0.5195586760280843, 0.48044132397191575, 0.5195586760280843, 0.5195586760280843, 0.5195586760280843]",0.5195586760280843,1
Bert-Base-Uncased,Adam,CrossEntropy,0.001,16,5,"[0.6931379200920226, 0.6924336732379974, 0.6919380956225925, 0.6977173137286353, 0.6922768789624411]","[0.5195586760280843, 0.5195586760280843, 0.5195586760280843, 0.48044132397191575, 0.5195586760280843]",0.5195586760280843,1
Bert-Base-Uncased,Adam,CrossEntropy,0.001,32,5,"[0.6931986231356859, 0.6913453284651041, 0.7348954379558563, 0.6915529482066631, 0.7078264765441418]","[0.48044132397191575, 0.5195586760280843, 0.48044132397191575, 0.5195586760280843, 0.5195586760280843]",0.5195586760280843,2
Bert-Base-Uncased,Adam,CrossEntropy,0.001,64,5,"[0.7393336854875088, 0.7075567692518234, 0.6925543881952763, 0.6953249126672745, 0.6965421959757805]","[0.48044132397191575, 0.48044132397191575, 0.5195586760280843, 0.48044132397191575, 0.48044132397191575]",0.5195586760280843,3
Bert-Base-Uncased,Adam,CrossEntropy,0.001,128,5,"[0.6924276053905487, 0.695301353931427, 0.7112668231129646, 0.6943892389535904, 0.692311979830265]","[0.5195586760280843, 0.48044132397191575, 0.5195586760280843, 0.48044132397191575, 0.5195586760280843]",0.5195586760280843,1
Bert-Base-Uncased,Adam,CrossEntropy,0.001,256,5,"[0.7010539323091507, 0.6927675753831863, 0.6924132853746414, 0.6936245560646057, 0.7122772783041]","[0.48044132397191575, 0.5195586760280843, 0.5195586760280843, 0.48044132397191575, 0.48044132397191575]",0.5195586760280843,2
Bert-Base-Uncased,Adam,CrossEntropy,0.0001,8,5,"[0.6923181443214417, 0.6968788542747497, 0.6934964876174927, 0.7001427698135376, 0.6932499237060546]","[0.5195586760280843, 0.48044132397191575, 0.5195586760280843, 0.48044132397191575, 0.48044132397191575]",0.5195586760280843,1
Bert-Base-Uncased,Adam,CrossEntropy,0.0001,16,5,"[0.7132009031280638, 0.6999492872328985, 0.6955145881289527, 0.6929597409944686, 0.6921142954674978]","[0.48044132397191575, 0.48044132397191575, 0.48044132397191575, 0.5195586760280843, 0.5195586760280843]",0.5195586760280843,4
Bert-Base-Uncased,Adam,CrossEntropy,0.0001,32,5,"[0.6929544452577829, 0.7082078400999308, 0.6971318796277046, 0.7001016922295094, 0.6913604903966188]","[0.5165496489468405, 0.48044132397191575, 0.5195586760280843, 0.5195586760280843, 0.5195586760280843]",0.5195586760280843,3
Bert-Base-Uncased,Adam,CrossEntropy,0.0001,64,5,"[0.7185209803283215, 0.6993374265730381, 0.6935719102621078, 0.6947631910443306, 0.693548183888197]","[0.48044132397191575, 0.48044132397191575, 0.48244734202607825, 0.5195586760280843, 0.48044132397191575]",0.5195586760280843,4
Bert-Base-Uncased,Adam,CrossEntropy,0.0001,128,5,"[0.6923659667372704, 0.6926454901695251, 0.6947623491287231, 0.419363047927618, 0.40319352969527245]","[0.5195586760280843, 0.5195586760280843, 0.4884653961885657, 0.7923771313941825, 0.8244734202607823]",0.8244734202607823,5
Bert-Base-Uncased,Adam,CrossEntropy,0.0001,256,5,"[0.6926687955856323, 0.50254325568676, 0.3547214940190315, 0.5329862236976624, 0.7309900522232056]","[0.5195586760280843, 0.7592778335005015, 0.8465396188565697, 0.8214643931795386, 0.8254764292878636]",0.8465396188565697,3
Bert-Base-Uncased,Adam,CrossEntropy,1e-05,8,5,"[0.4277593824267387, 0.31703976465761663, 0.5791778498413042, 0.5543079674127511, 0.736394900280051]","[0.7993981945837513, 0.8565697091273822, 0.8365095285857572, 0.8495486459378134, 0.8375125376128385]",0.8565697091273822,2
Bert-Base-Uncased,Adam,CrossEntropy,1e-05,16,5,"[0.6892758210500082, 0.3224447408602351, 0.3493999284174707, 0.4532597539244249, 0.47443928272419034]","[0.5295887662988967, 0.8575727181544633, 0.8545636910732196, 0.8655967903711134, 0.8555667001003009]",0.8655967903711134,4
Bert-Base-Uncased,Adam,CrossEntropy,1e-05,32,5,"[0.6921137236058712, 0.6367883253842592, 0.3302404065616429, 0.41818528017029166, 0.5962511140387505]","[0.5336008024072216, 0.6489468405215647, 0.8425275827482447, 0.839518555667001, 0.8324974924774323]",0.8425275827482447,3
Bert-Base-Uncased,Adam,CrossEntropy,1e-05,64,5,"[0.6955691240727901, 0.5660830475389957, 0.4190322244539857, 0.42701822612434626, 0.5529999528080225]","[0.49147442326980945, 0.7191574724172518, 0.8154463390170511, 0.831494483450351, 0.8324974924774323]",0.8324974924774323,5
Bert-Base-Uncased,Adam,CrossEntropy,1e-05,128,5,"[0.6937385201454163, 0.6841344833374023, 0.47188539057970047, 0.4079294987022877, 0.4809526316821575]","[0.5075225677031093, 0.5576730190571715, 0.7703109327983951, 0.8214643931795386, 0.8104312938816449]",0.8214643931795386,4
Bert-Base-Uncased,Adam,CrossEntropy,1e-05,256,5,"[0.6938028335571289, 0.6924186646938324, 0.6765233129262924, 0.6664084792137146, 0.5300251692533493]","[0.5035105315947843, 0.5155466399197592, 0.5817452357071213, 0.6780341023069207, 0.7592778335005015]",0.7592778335005015,5
Bert-Base-Uncased,Adam,CrossEntropy,1e-06,8,5,"[0.6899786810874939, 0.6898143768310547, 0.6836189594268799, 0.6713074581623077, 0.6708130593299866]","[0.5466399197592778, 0.5466399197592778, 0.5757271815446339, 0.6078234704112337, 0.6469408224674023]",0.6469408224674023,5
Bert-Base-Uncased,Adam,CrossEntropy,1e-06,16,5,"[0.6950022303868854, 0.6931681349163964, 0.6904817488458421, 0.6613568091203296, 0.5915411209303235]","[0.49247743229689067, 0.49648946840521563, 0.5336008024072216, 0.60481444332999, 0.6900702106318957]",0.6900702106318957,5
Bert-Base-Uncased,Adam,CrossEntropy,1e-06,32,5,"[0.6950521320104599, 0.6922110933810472, 0.6904113907366991, 0.685510354116559, 0.6479868534952402]","[0.5015045135406219, 0.5085255767301906, 0.5396188565697091, 0.5496489468405216, 0.6148445336008024]",0.6148445336008024,5
Bert-Base-Uncased,Adam,CrossEntropy,1e-06,64,5,"[0.6922692209482193, 0.6913490705192089, 0.6905117221176624, 0.6893078163266182, 0.6883261874318123]","[0.5145436308926781, 0.5245737211634904, 0.5386158475426279, 0.5436308926780341, 0.5476429287863591]",0.5476429287863591,5
Bert-Base-Uncased,Adam,CrossEntropy,1e-06,128,5,"[0.6928185671567917, 0.6918596997857094, 0.691970057785511, 0.6913473308086395, 0.6904114931821823]","[0.5376128385155466, 0.5436308926780341, 0.5336008024072216, 0.5325977933801405, 0.5366098294884654]",0.5436308926780341,2
Bert-Base-Uncased,Adam,CrossEntropy,1e-06,256,5,"[0.6956931799650192, 0.6947011351585388, 0.6943255811929703, 0.6940374672412872, 0.6938790529966354]","[0.5015045135406219, 0.49949849548645936, 0.49648946840521563, 0.5005015045135406, 0.5105315947843531]",0.5105315947843531,5
Bert-Base-Uncased,Adam,CrossEntropy,1e-07,8,5,"[0.7020268588066101, 0.6996428608894348, 0.6983052353858947, 0.697614806175232, 0.6970228304862977]","[0.5045135406218656, 0.5055165496489469, 0.4974924774322969, 0.4954864593781344, 0.4884653961885657]",0.5055165496489469,2
Bert-Base-Uncased,Adam,CrossEntropy,1e-07,16,5,"[0.6966468389072116, 0.6961762299613347, 0.6957481285882374, 0.6954475783166432, 0.6952889183210949]","[0.49247743229689067, 0.49648946840521563, 0.4974924774322969, 0.4954864593781344, 0.4974924774322969]",0.4974924774322969,3
Bert-Base-Uncased,Adam,CrossEntropy,1e-07,32,5,"[0.7068161256611347, 0.7015559189021587, 0.6987510304898024, 0.6974513679742813, 0.6967614702880383]","[0.4764292878635908, 0.47342026078234706, 0.477432296890672, 0.4864593781344032, 0.4844533600802407]",0.4864593781344032,4
Bert-Base-Uncased,Adam,CrossEntropy,1e-07,64,5,"[0.6990447156131268, 0.6980605609714985, 0.6975289918482304, 0.6970157288014889, 0.6966973766684532]","[0.48746238716148443, 0.4954864593781344, 0.4864593781344032, 0.48946840521564694, 0.4794383149448345]",0.4954864593781344,2
Bert-Base-Uncased,Adam,CrossEntropy,1e-07,128,5,"[0.6932334750890732, 0.6932415440678596, 0.6932909414172173, 0.6933424845337868, 0.6933886110782623]","[0.5035105315947843, 0.5105315947843531, 0.49648946840521563, 0.49849548645937813, 0.5015045135406219]",0.5105315947843531,2
Bert-Base-Uncased,Adam,CrossEntropy,1e-07,256,5,"[0.6963078826665878, 0.6947185397148132, 0.6935281157493591, 0.6927188783884048, 0.6922542601823807]","[0.518555667001003, 0.5215646940822467, 0.5175526579739218, 0.5245737211634904, 0.5215646940822467]",0.5245737211634904,4
