Model,Optimizer,Loss Function,Learning Rate,Batch Size,Test Epoch,Validation Loss,Validation Accuracy,Highest Accuracy,Occurred in which Epoch
Roberta-Large,Adam,CrossEntropy,1.00E-07,8,5,"[0.692407883644104, 0.6926663579940796, 0.6913952322006226, 0.6737659831047058, 0.6467311701774597]","[0.5205616850551655, 0.5095285857572718, 0.5526579739217653, 0.6198595787362087, 0.6619859578736209]",0.661985958,5
Roberta-Large,Adam,CrossEntropy,1.00E-07,16,5,"[0.697276546841576, 0.6957600372178214, 0.6948630194815378, 0.693579739994473, 0.6928111343156724]","[0.4954864593781344, 0.5095285857572718, 0.5035105315947843, 0.49047141424272817, 0.5095285857572718]",0.509528586,2
Roberta-Large,Adam,CrossEntropy,1.00E-07,32,5,"[0.7130380962044001, 0.704838328063488, 0.7005194202065468, 0.6967432275414467, 0.6931040417402983]","[0.48244734202607825, 0.49648946840521563, 0.49849548645937813, 0.49849548645937813, 0.5055165496489469]",0.50551655,5
Roberta-Large,Adam,CrossEntropy,1.00E-07,64,5,"[0.7215937189757824, 0.7107937298715115, 0.7066296301782131, 0.7002048194408417, 0.6930426694452763]","[0.5195586760280843, 0.5095285857572718, 0.5125376128385155, 0.5315947843530592, 0.5426278836509528]",0.542627884,5
Roberta-Large,Adam,CrossEntropy,1.00E-07,128,5,"[0.6981547847390175, 0.6974355578422546, 0.6969127282500267, 0.6964074969291687, 0.6960403472185135]","[0.48144433299899697, 0.48144433299899697, 0.48044132397191575, 0.4884653961885657, 0.4944834503510532]",0.49448345,5
Roberta-Large,Adam,CrossEntropy,1.00E-06,8,5,"[0.6938324918746949, 0.3181231597661972, 0.21187032313644885, 0.21088430158421398, 0.26346311994455757]","[0.48244734202607825, 0.8655967903711134, 0.9247743229689067, 0.9267803410230692, 0.9237713139418254]",0.926780341,4
Roberta-Large,Adam,CrossEntropy,1.00E-06,16,5,"[0.6924681039083571, 0.5168009722043597, 0.2717194226053026, 0.2218946653699118, 0.21706530632125953]","[0.5215646940822467, 0.7522567703109327, 0.8816449348044132, 0.9097291875626881, 0.9167502507522568]",0.916750251,5
Roberta-Large,Adam,CrossEntropy,1.00E-06,32,5,"[0.6985336150974035, 0.692985113710165, 0.6919712703675032, 0.26922690961509943, 0.18718351470306516]","[0.48044132397191575, 0.4974924774322969, 0.4974924774322969, 0.8906720160481444, 0.9247743229689067]",0.924774323,5
Roberta-Large,Adam,CrossEntropy,1.00E-06,64,5,"[0.6945699267089367, 0.6937639638781548, 0.6906947121024132, 0.36279245372861624, 0.25417788326740265]","[0.4834503510531595, 0.506519558676028, 0.5175526579739218, 0.8525576730190572, 0.8976930792377131]",0.897693079,5
Roberta-Large,Adam,CrossEntropy,1.00E-06,128,5,"[0.6952592507004738, 0.6942570060491562, 0.6885921135544777, 0.5687284991145134, 0.39459826052188873]","[0.5055165496489469, 0.48044132397191575, 0.5536609829488466, 0.7582748244734202, 0.8575727181544633]",0.857572718,5
Roberta-Large,Adam,CrossEntropy,1.00E-05,8,5,"[0.6930212116241455, 0.6941599168777466, 0.6933209300041199, 0.6934157328605652, 0.6924919648170471]","[0.5195586760280843, 0.48044132397191575, 0.48044132397191575, 0.48044132397191575, 0.5195586760280843]",0.519558676,1
Roberta-Large,Adam,CrossEntropy,1.00E-05,16,5,"[0.1752207142020029, 0.1339283969608091, 0.22117201439178888, 0.26361925911623985, 0.2645597520722298]","[0.9277833500501504, 0.9408224674022067, 0.9358074222668004, 0.9348044132397192, 0.9358074222668004]",0.940822467,2
Roberta-Large,Adam,CrossEntropy,1.00E-05,32,5,"[0.2732276297174394, 0.15637480362784117, 0.1982640739879571, 0.24828862394497264, 0.3084815463371342]","[0.8966900702106319, 0.9388164493480441, 0.9327983951855566, 0.9368104312938816, 0.9237713139418254]",0.938816449,2
Roberta-Large,Adam,CrossEntropy,1.00E-05,64,5,"[0.6936864703893661, 0.6974302232265472, 0.6930604986846447, 0.4935295023024082, 0.1928334040567279]","[0.48044132397191575, 0.48044132397191575, 0.5125376128385155, 0.843530591775326, 0.9197592778335005]",0.919759278,5
Roberta-Large,Adam,CrossEntropy,1.00E-05,128,5,"[0.6923533827066422, 0.2120246235281229, 0.1507620420306921, 0.20136592350900173, 0.2416694536805153]","[0.5346038114343029, 0.9167502507522568, 0.9418254764292878, 0.9388164493480441, 0.9468405215646941]",0.946840522,5
